gene_id,E-PG_l1r1,E-PG_l1r2,E-PG_l2r1,E-PG_l2r2,P-EG_r1,P-EG_r2,D7_l1r1,D7_l1r2,D7_l2r1,D7_l2r2,P-EN2_l1r1,P-EN2_l2r1,wholebrain_1,wholebrain_2
FBgn0000307,3.62,10.42,10.36,9.51,7.21,14.8,8.87,16.62,12.88,14.09,9.87,3.08,28.5,27.3
FBgn0000308,35.92,85.1,92.61,138.12,177.86,153.77,132.65,27.27,136.91,163.1,162.34,97.6,177.47,183.87
FBgn0000316,4.32,8.7,6.73,12.96,4.39,8.58,8.6,6.14,8.62,7.16,12.88,8.41,17.25,16.09
FBgn0000317,0.0,0.0,0.0,0.23,0.96,0.19,0.0,0.04,4.98,0.25,0.0,0.0,1.38,1.14
FBgn0000318,4.62,30.89,16.71,35.32,6.17,100.39,11.19,3.08,32.05,25.7,11.48,4.07,21.83,23.04
FBgn0000319,31.89,35.51,25.15,18.72,10.39,21.95,16.15,8.25,29.85,26.44,17.5,4.66,20.61,20.9
FBgn0000320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,2.16,1.91
FBgn0000326,0.55,0.0,22.79,4.56,0.0,3.67,0.0,5.53,1.13,1.35,0.0,0.0,0.55,1.32
FBgn0000330,2.89,3.43,0.77,0.85,2.84,2.69,5.86,0.45,19.91,0.83,10.67,0.34,6.76,8.06
FBgn0000337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.36,0.0,0.0,0.0,0.15,0.16
FBgn0000339,0.0,9.23,13.51,2.27,4.45,14.75,1.98,18.34,8.92,11.32,0.09,0.0,14.51,15.04
FBgn0000346,34.69,47.82,27.93,60.82,20.68,27.89,59.44,29.14,51.12,63.13,16.42,14.15,73.46,69.57
FBgn0000351,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.16,0.0
FBgn0000352,3.55,10.47,11.79,4.46,8.51,7.47,1.35,6.27,1.72,10.45,6.3,9.46,9.01,8.72
FBgn0000355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0000356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
